city,state_id,state_name,county_name,lat,lng,population
Renton,WA,Washington,King,47.4757,-122.1904,100953.0
Chehalis,WA,Washington,Lewis,46.6649,-122.966,7498.0
Mercer Island,WA,Washington,King,47.5624,-122.2265,25134.0
Lynnwood,WA,Washington,Snohomish,47.8285,-122.3034,38092.0
Centralia,WA,Washington,Lewis,46.7226,-122.9695,41077.0
Mountlake Terrace,WA,Washington,Snohomish,47.7921,-122.3077,21182.0
Seattle,WA,Washington,King,47.6217,-122.3238,3541236.0
Liberty Lake,WA,Washington,Spokane,47.6687,-117.1031,9209.0
Airway Heights,WA,Washington,Spokane,47.6464,-117.5802,6672.0
Brier,WA,Washington,Snohomish,47.7924,-122.2736,6743.0
Port Townsend,WA,Washington,Jefferson,48.1219,-122.7873,8782.0
Oak Harbor,WA,Washington,Island,48.2965,-122.6331,34689.0
Anacortes,WA,Washington,Skagit,48.4878,-122.6291,17667.0
Grandview,WA,Washington,Yakima,46.2432,-119.9082,18909.0
Quincy,WA,Washington,Grant,47.2342,-119.8512,7644.0
Kelso,WA,Washington,Cowlitz,46.1249,-122.8907,12047.0
Cheney,WA,Washington,Spokane,47.49,-117.5789,12213.0
Lacey,WA,Washington,Thurston,47.0444,-122.7933,47688.0
Selah,WA,Washington,Yakima,46.648,-120.5388,7768.0
Sultan,WA,Washington,Snohomish,47.8703,-121.8036,8681.0
Edmonds,WA,Washington,Snohomish,47.8114,-122.3534,41840.0
Lake Forest Park,WA,Washington,King,47.7592,-122.2877,13266.0
Yakima,WA,Washington,Yakima,46.5926,-120.5492,133687.0
Pacific,WA,Washington,King,47.261,-122.2507,7122.0
Snoqualmie,WA,Washington,King,47.5292,-121.8409,25455.0
Lynden,WA,Washington,Whatcom,48.9502,-122.4542,16966.0
Federal Way,WA,Washington,King,47.3091,-122.3358,96757.0
Mill Creek,WA,Washington,Snohomish,47.8631,-122.2037,20303.0
Lakewood,WA,Washington,Pierce,47.1627,-122.5299,60665.0
Port Angeles,WA,Washington,Clallam,48.1141,-123.4565,23818.0
Wapato,WA,Washington,Yakima,46.4435,-120.4213,7723.0
Arlington,WA,Washington,Snohomish,48.1698,-122.144,19112.0
Sammamish,WA,Washington,King,47.6045,-122.0446,63773.0
Covington,WA,Washington,King,47.3665,-122.105,20478.0
Wenatchee,WA,Washington,Chelan,47.4251,-120.329,71426.0
Omak,WA,Washington,Okanogan,48.4214,-119.5178,8208.0
Sedro-Woolley,WA,Washington,Skagit,48.5095,-122.2344,11476.0
Sunnyside,WA,Washington,Yakima,46.3159,-120.0058,17931.0
Normandy Park,WA,Washington,King,47.4344,-122.3436,6651.0
SeaTac,WA,Washington,King,47.4444,-122.2985,28873.0
Steilacoom,WA,Washington,Pierce,47.1702,-122.5938,6309.0
Ridgefield,WA,Washington,Clark,45.8112,-122.7053,6318.0
Kennewick,WA,Washington,Benton,46.1979,-119.1732,229624.0
Pullman,WA,Washington,Whitman,46.7327,-117.1634,33204.0
Longview,WA,Washington,Cowlitz,46.1471,-122.9642,65156.0
West Richland,WA,Washington,Benton,46.3115,-119.3996,14198.0
Colville,WA,Washington,Stevens,48.545,-117.8975,5088.0
Prosser,WA,Washington,Benton,46.2065,-119.7659,6040.0
Maple Valley,WA,Washington,King,47.3664,-122.037,25698.0
Auburn,WA,Washington,King,47.3039,-122.2108,77472.0
Burlington,WA,Washington,Skagit,48.4676,-122.3298,8768.0
Connell,WA,Washington,Franklin,46.6627,-118.8403,5243.0
Bainbridge Island,WA,Washington,Kitsap,47.6439,-122.5434,24404.0
Edgewood,WA,Washington,Pierce,47.2309,-122.2832,10734.0
Shoreline,WA,Washington,King,47.7563,-122.3425,55333.0
Othello,WA,Washington,Adams,46.8226,-119.1654,12324.0
University Place,WA,Washington,Pierce,47.2146,-122.5461,33288.0
Poulsbo,WA,Washington,Kitsap,47.7417,-122.6408,10400.0
Hoquiam,WA,Washington,Grays Harbor,46.9857,-123.9006,8434.0
Ephrata,WA,Washington,Grant,47.3119,-119.5342,7289.0
Kent,WA,Washington,King,47.3887,-122.2128,127514.0
Mukilteo,WA,Washington,Snohomish,47.9096,-122.3035,21462.0
Kirkland,WA,Washington,King,47.6996,-122.1982,87701.0
Redmond,WA,Washington,King,47.6776,-122.1176,62458.0
Tukwila,WA,Washington,King,47.4749,-122.2727,20033.0
Yelm,WA,Washington,Thurston,46.9398,-122.6261,16125.0
Olympia,WA,Washington,Thurston,47.0417,-122.8958,194532.0
Fife,WA,Washington,Pierce,47.2327,-122.3519,10103.0
Port Orchard,WA,Washington,Kitsap,47.516,-122.6616,13945.0
Bremerton,WA,Washington,Kitsap,47.5436,-122.7121,214549.0
Lake Stevens,WA,Washington,Snohomish,48.0028,-122.0964,31679.0
